_id,serverid,eventname,timestamp_current,timestamp_prev,latitude_current,longitude_current,latitude_prev,longitude_prev,altitude_current,altitude_prev,speed_current,speed_prev,accuracy_current,accuracy_prev,bearing_current,bearing_prev,isSynced
1,-1,Stopped,1526114136792,1526114131767,22.2814968,73.1907338,22.281338,73.1906891,0.0,0.0,0.0,0.0,23.1879997253418,25.3320007324219,0.0,0.0,-1
2,-1,Accelerate,1526114141126,1526114136792,22.2818138,73.1906643,22.2814968,73.1907338,-20.6010322054023,0.0,7.58186054229736,0.0,32.0,23.1879997253418,358.0,0.0,-1
3,-1,Running,1526114157000,1526114141126,22.283024,73.190663,22.2818138,73.1906643,-31.1684976598194,-20.6010322054023,7.99535131454468,7.58186054229736,10.0,32.0,350.0,358.0,-1
4,-1,Turn,1526114160000,1526114158000,22.2831715,73.1905019,22.2830879,73.190612,-34.3222331119667,-34.122067288168,8.42061328887939,7.50554704666138,10.0,10.0,277.0,325.0,-1
5,-1,Running,1526114164000,1526114160000,22.2832075,73.1901474,22.2831715,73.1905019,-33.987435591637,-34.3222331119667,9.64049243927002,8.42061328887939,10.0,10.0,273.0,277.0,-1
6,-1,Accelerate,1526114175000,1526114164000,22.2832447,73.188824,22.2832075,73.1901474,-34.7309990449453,-33.987435591637,13.3434867858887,9.64049243927002,10.0,10.0,271.0,273.0,-1
7,-1,Running,1526114177000,1526114175000,22.2832524,73.1885743,22.2832447,73.188824,-33.1878235111175,-34.7309990449453,12.6257429122925,13.3434867858887,10.0,10.0,272.0,271.0,-1
8,-1,Deaccelerate,1526114182000,1526114177000,22.2832701,73.18803,22.2832524,73.1885743,-32.2271291986054,-33.1878235111175,10.0906543731689,12.6257429122925,10.0,10.0,270.0,272.0,-1
9,-1,Turn,1526114186000,1526114184000,22.2830332,73.1878795,22.2831967,73.1879106,-32.892835216013,-32.2771829883395,10.9325351715088,7.41883325576782,10.0,10.0,178.0,217.0,-1
10,-1,Accelerate,1526114203000,1526114186000,22.2809965,73.187338,22.2830332,73.1878795,-33.5935084356025,-32.892835216013,16.1252479553223,10.9325351715088,10.0,10.0,203.0,178.0,-1
11,-1,Running,1526114216000,1526114203000,22.2792041,73.1865554,22.2809965,73.187338,-32.1247892045041,-33.5935084356025,16.5687656402588,16.1252479553223,10.0,10.0,197.0,203.0,-1
12,-1,Turn,1526114218000,1526114218000,22.278904,73.1865536,22.278904,73.1865536,-32.4322164035284,-32.4322164035284,16.1247329711914,16.1247329711914,10.0,10.0,181.0,181.0,-1
13,-1,Running,1526114222000,1526114218000,22.2783214,73.1865282,22.278904,73.1865536,-34.2835988112839,-32.4322164035284,15.646125793457,16.1247329711914,16.0,10.0,182.0,181.0,-1
14,-1,Deaccelerate,1526114228000,1526114222000,22.2778712,73.1865154,22.2783214,73.1865282,-35.6622315549995,-34.2835988112839,3.27457618713379,15.646125793457,10.0,16.0,185.0,182.0,-1
15,-1,Accelerate,1526114231000,1526114228000,22.277734,73.1864931,22.2778712,73.1865154,-35.6176560541343,-35.6622315549995,5.26341104507446,3.27457618713379,10.0,10.0,200.0,185.0,-1
16,-1,Turn,1526114233000,1526114233000,22.2776499,73.1864135,22.2776499,73.1864135,-35.0014394846511,-35.0014394846511,6.31621503829956,6.31621503829956,10.0,10.0,239.0,239.0,-1
17,-1,Accelerate,1526114234000,1526114233000,22.2776197,73.1863536,22.2776499,73.1864135,-33.7784045313022,-35.0014394846511,7.21040725708008,6.31621503829956,10.0,10.0,243.0,239.0,-1
18,-1,Turn,1526114235000,1526114235000,22.2776133,73.1862817,22.2776133,73.1862817,-32.9092696316774,-32.9092696316774,7.93570041656494,7.93570041656494,10.0,10.0,269.0,269.0,-1
19,-1,Accelerate,1526114249000,1526114235000,22.2776305,73.1845464,22.2776133,73.1862817,-31.6272832875784,-32.9092696316774,15.1806259155273,7.93570041656494,10.0,10.0,271.0,269.0,-1
20,-1,Running,1526114251000,1526114249000,22.2776366,73.1842532,22.2776305,73.1845464,-31.2128068913138,-31.6272832875784,15.0617094039917,15.1806259155273,10.0,10.0,271.0,271.0,-1
21,-1,Deaccelerate,1526114260000,1526114251000,22.2776714,73.1832414,22.2776366,73.1842532,-31.7311222953336,-31.2128068913138,4.89561653137207,15.0617094039917,10.0,10.0,269.0,271.0,-1
22,-1,Turn,1526114262000,1526114262000,22.2776294,73.1831411,22.2776294,73.1831411,-32.1080899887068,-32.1080899887068,5.87977886199951,5.87977886199951,10.0,10.0,237.0,237.0,-1
23,-1,Running,1526114263000,1526114262000,22.277603,73.1830995,22.2776294,73.1831411,-32.1726491521781,-32.1080899887068,5.88246822357178,5.87977886199951,10.0,10.0,234.0,237.0,-1
24,-1,Turn,1526114265000,1526114264000,22.2774907,73.1830653,22.2775573,73.1830752,-33.0439999018051,-32.8281620932885,8.32862758636475,6.59274435043335,10.0,10.0,187.0,205.0,-1
25,-1,Accelerate,1526114272000,1526114265000,22.276692,73.1829972,22.2774907,73.1830653,-32.8621840184168,-33.0439999018051,15.4163293838501,8.32862758636475,10.0,10.0,183.0,187.0,-1
26,-1,Running,1526114277000,1526114272000,22.2759905,73.1829642,22.276692,73.1829972,-31.7429172065077,-32.8621840184168,14.559757232666,15.4163293838501,10.0,10.0,181.0,183.0,-1
27,-1,Accelerate,1526114278000,1526114277000,22.2758443,73.1829592,22.2759905,73.1829642,-31.5092636650004,-31.7429172065077,15.5041465759277,14.559757232666,10.0,10.0,182.0,181.0,-1
28,-1,Running,1526114291000,1526114278000,22.273935,73.1827638,22.2758443,73.1829592,-28.0651731303761,-31.5092636650004,15.7735290527344,15.5041465759277,10.0,10.0,184.0,182.0,-1
29,-1,Deaccelerate,1526114296000,1526114291000,22.2733822,73.1827675,22.273935,73.1827638,-30.6542505992733,-28.0651731303761,9.38344764709473,15.7735290527344,10.0,10.0,178.0,184.0,-1
30,-1,Accelerate,1526114312000,1526114296000,22.2713568,73.1825019,22.2733822,73.1827675,-30.4911507670182,-30.6542505992733,19.7544975280762,9.38344764709473,10.0,10.0,186.0,178.0,-1
